case_id,state,isMetro,areaname,county,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income
2705,TX,TRUE,"Lynn County, TX HUD Metro FMR Area",Lynn County,1p1c,8808,4678.8666,12611.196,8174.57076,4886.82348,6319.24956,4244.36724,49723.0728,57602.88672
2719,TX,FALSE,"Mills County, TX",Mills County,1p3c,10956,8099.27052,14746.1592,13665.9816,6904.47588,9209.17164,3351.93348,66932.994,63834.69531
2739,TX,FALSE,"Polk County, TX",Polk County,2p0c,7872,5268.83496,13160.0664,11013.58008,4761.4428,0,5309.8788,47385.8028,59630.86719
2754,TX,FALSE,"Sabine County, TX",Sabine County,2p3c,12600,10835.35176,15785.3976,19172.772,8491.55268,9384.7434,5025.41424,81295.23,51531.26563
2755,TX,FALSE,"San Augustine County, TX",San Augustine County,2p1c,9204,6865.35276,14403.6264,13733.3112,5822.56056,4776.48816,5318.73816,60124.0776,48517.53125
2766,TX,FALSE,"Starr County, TX",Starr County,2p4c,11280,11467.998,14491.068,17968.8192,8242.49712,9243.77412,2008.41408,74702.5728,34122.45703
2778,TX,TRUE,"San Angelo, TX MSA",Tom Green County,2p4c,15529.2204,12319.1376,14875.5384,23785.3116,10090.55856,13317.87,6010.42968,95928.0648,70791.4375
2786,TX,FALSE,"Van Zandt County, TX",Van Zandt County,2p0c,7296,5687.29836,13466.9256,11013.58008,4704.36108,0,5327.71476,47495.88,65720.97656
2788,TX,FALSE,"Walker County, TX",Walker County,1p0c,7692,2842.7844,10465.1814,5506.79004,3817.16784,0,4509.63096,34833.5532,66666.67969
2791,TX,FALSE,"Washington County, TX",Washington County,1p3c,13476,8218.81644,13810.1604,13636.0944,7860.88764,10097.4588,4270.68756,71370.1056,72435.39063
2809,UT,TRUE,"Logan, UT-ID MSA",Cache County,1p4c,13535.2776,10609.13604,14456.46,14794.1676,8748.47316,16597.0272,10284.96096,89025.504,69871.40625
2817,UT,FALSE,"Iron County, UT",Iron County,1p3c,12276,8876.32248,13725.9204,12543.4032,7664.32104,17638.2468,10058.61696,82782.8316,65554.625
2835,UT,TRUE,"Ogden-Clearfield, UT HUD Metro FMR Area",Weber County,2p3c,15181.1808,10798.7454,16402.7196,15398.9184,9413.5518,17490.3732,10929.28932,95614.7808,79465.03906
2838,VT,FALSE,"Caledonia County, VT",Caledonia County,2p3c,12564,14093.2776,15394.71,19768.5996,9658.98336,14714.8164,9164.21856,95358.6036,66743.69531
2839,VT,TRUE,"Burlington-South Burlington, VT MSA",Chittenden County,2p0c,15804.1656,7247.02584,12618.0444,13473.0804,8352.35592,0,9816.83568,67311.51,101076.6484
2842,VT,TRUE,"Burlington-South Burlington, VT MSA",Grand Isle County,1p3c,20146.374,10759.17696,15289.6932,13564.7196,11198.30052,21855.3168,16719.984,109533.5628,89015.54688
2853,VA,TRUE,"Richmond, VA MSA",Amelia County,1p3c,13685.0484,9563.71284,15071.6124,12650.6952,8423.94288,16379.6328,11385.40644,87160.0488,84043.65625
2857,VA,TRUE,"Staunton-Waynesboro, VA MSA",Augusta County,1p4c,15351.69,11962.71456,14719.1808,15848.3952,9897.0864,16990.4604,12865.5156,97635.0408,75494.30469
2863,VA,FALSE,"Buchanan County, VA",Buchanan County,2p3c,10560,10871.95824,15308.0784,18460.6872,7765.64424,12173.286,8067.27324,83206.9272,41970.48828
2866,VA,TRUE,"Richmond, VA MSA",Caroline County,1p3c,18108.6648,9892.46556,14681.058,12650.6952,10145.9136,18471.5508,14811.5088,98761.8516,79105.64844
2867,VA,FALSE,"Carroll County-Galax city, VA HUD Nonmetro FMR Area",Carroll County,2p3c,11322.97044,11860.31616,15608.7084,18460.6872,8400.219,12282.0084,8853.65628,86788.5648,57871.91406
2868,VA,TRUE,"Richmond, VA MSA",Charles City County,1p2c,10185.44976,7213.76952,14479.6776,10098.28932,6304.42308,14479.1292,8650.78488,71411.5248,78038.78125
2876,VA,TRUE,"Richmond, VA MSA",Dinwiddie County,1p4c,16650.6948,11304.21612,15256.6476,15203.1,10129.16676,17782.08,13555.6944,99881.6016,76677.21094
2878,VA,TRUE,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Fairfax County,2p0c,20784.0876,7380.17364,11234.45436,10274.95968,10205.02224,0,11562.9726,71441.6724,148568.375
2886,VA,TRUE,"Richmond, VA MSA",Goochland County,2p0c,13273.2432,6695.41476,14605.7232,9986.95968,7235.4324,0,9453.31272,61250.0856,115181.1328
2888,VA,TRUE,"Charlottesville, VA HUD Metro FMR Area",Greene County,2p3c,18525.1008,12555.8304,17020.3416,19194.006,11261.84688,18977.1876,15443.7348,112978.0428,78504.96094
2896,VA,TRUE,"Virginia Beach-Norfolk-Newport News, VA-NC HUD Metro FMR Area",James City County,2p3c,21590.9688,14495.9412,15350.112,18440.0328,13075.7112,19993.428,17518.7976,120464.988,106618.4297
2910,VA,TRUE,"Charlottesville, VA HUD Metro FMR Area",Nelson County,2p2c,9701.29176,9714.21384,16020.21,16420.9908,7035.00288,14068.9056,9619.7424,82580.3556,80136.58594
2912,VA,FALSE,"Northampton County, VA",Northampton County,2p1c,9636,7480.86696,14174.1816,13223.9484,6202.11552,7042.6194,8333.59356,66093.3276,61318.97266
2917,VA,FALSE,"Patrick County, VA",Patrick County,2p1c,8412,6983.721,14078.826,13223.9484,5578.47732,6765.36624,7594.03488,62636.3736,61503.80078
2918,VA,FALSE,"Pittsylvania County-Danville city, VA HUD Nonmetro FMR Area",Pittsylvania County,1p2c,8700.00732,7056.94848,12861.5952,10539.5274,5709.36624,11193.81084,6417.23436,62478.492,58802.21875
2952,VA,FALSE,"Pittsylvania County-Danville city, VA HUD Nonmetro FMR Area",Danville city,1p1c,8184.00732,4097.83116,10268.82276,7921.15872,4450.1946,6682.55496,5323.70688,46928.2764,48837.89844
2953,VA,FALSE,"Greensville County-Emporia city, VA HUD Nonmetro FMR Area",Emporia city,1p0c,5707.69488,2977.66092,10022.95536,5302.79004,3147.04692,0,5056.40808,32214.5568,37757.42188
2956,VA,FALSE,"Southampton County-Franklin city, VA HUD Nonmetro FMR Area",Franklin city,1p1c,9611.58984,4724.73744,10224.40284,7921.15872,5194.61688,7245.5376,6269.9766,51192.018,48552.44141
2961,VA,TRUE,"Richmond, VA MSA",Hopewell city,1p3c,14679.12,10071.78516,12143.9412,12650.6952,8968.22904,16849.7268,11210.87472,86574.3756,48128.36328
2981,VA,TRUE,"Virginia Beach-Norfolk-Newport News, VA-NC HUD Metro FMR Area",Williamsburg city,1p0c,11516.8674,3434.16648,9231.20724,5221.47984,5417.34888,0,7029.38304,41850.4536,88563.75
3001,WA,FALSE,"Kittitas County, WA",Kittitas County,1p4c,16704,14596.7076,14551.638,12462.768,11341.48092,15263.8944,7821.33624,92741.8248,79299.71875
3008,WA,TRUE,"Pend Oreille County, WA HUD Metro FMR Area",Pend Oreille County,2p2c,11544,9504.33912,16186.4652,11628.31056,7626.6438,15340.872,6202.32792,78032.9592,61762.55859
3009,WA,TRUE,"Tacoma, WA HUD Metro FMR Area",Pierce County,1p1c,17532,5183.45028,11539.93584,6317.10348,8230.70364,11458.6164,7439.9568,67701.768,86636.39063
3011,WA,TRUE,"Mount Vernon-Anacortes, WA MSA",Skagit County,1p4c,21036,12328.5468,15017.6592,13539.5184,12089.2908,19678.6188,10999.38276,104689.02,80249.53906
3017,WA,FALSE,"Wahkiakum County, WA",Wahkiakum County,2p4c,13188,14469.3876,17150.8944,19662.4308,10021.36152,13938.6372,5630.07024,94060.7808,68070.35156
3033,WV,FALSE,"Grant County, WV",Grant County,1p2c,8112,6676.09716,12889.6776,14415.3588,5358.31092,11859.717,7450.6956,66761.8596,60793.23438
3034,WV,FALSE,"Greenbrier County, WV",Greenbrier County,1p1c,8664,4434.22008,11959.10304,12268.0704,4746.00144,6108.44856,7025.81616,55205.6604,52678.23047
3041,WV,TRUE,"Charleston, WV HUD Metro FMR Area",Kanawha County,1p2c,9756.69072,6362.45508,11258.60592,18137.0508,5840.60232,15943.1292,10437.30468,77735.8356,63683.75
3052,WV,TRUE,"Morgantown, WV MSA",Monongalia County,1p2c,10582.95924,6586.48536,11993.8074,15816.3372,6221.1672,17447.0028,10966.07808,79613.8356,81618.29688
3062,WV,TRUE,"Raleigh County, WV HUD Metro FMR Area",Raleigh County,1p3c,11520,8218.81644,12645.0288,19733.9916,7152.15156,17792.4972,12057.8436,89120.3316,57283.54297
3063,WV,FALSE,"Randolph County, WV",Randolph County,1p2c,8220,6541.6794,12463.6236,17118.87,5348.73852,11660.00316,8190.7734,69543.6852,58107.05859
3077,WI,FALSE,"Adams County, WI",Adams County,2p1c,9180,7125.76176,14863.8108,11412.315,5908.22064,8428.1814,7274.43756,64192.728,59595.95703
3078,WI,FALSE,"Ashland County, WI",Ashland County,1p1c,8808,5076.41748,11379.61008,8258.62056,5030.8722,8521.56084,6487.21068,53562.2928,61142.35547
3091,WI,FALSE,"Door County, WI",Door County,2p4c,12132,15947.6856,15474.6252,19684.164,10174.377,17873.304,10624.35132,101910.504,76052.89844
3092,WI,TRUE,"Duluth, MN-WI MSA",Douglas County,2p4c,13624.6068,12901.4988,14757.6216,22453.6644,9611.45436,18873.4524,10977.5544,103199.8476,70475.17969
3099,WI,TRUE,"Green County, WI HUD Metro FMR Area",Green County,1p2c,10296,6183.23076,13320.0384,9408.54048,5971.07556,16387.0668,7987.60176,69553.5528,82011.57031
3104,WI,FALSE,"Jefferson County, WI",Jefferson County,2p4c,14820,13304.67,15701.586,20210.5128,10190.67768,19216.2204,11454.64824,104898.3168,81202.42969
3105,WI,FALSE,"Juneau County, WI",Juneau County,1p0c,6432,3112.53768,11192.0574,4590.69,3458.36244,0,5018.65248,33804.2988,66105.00781
3121,WI,TRUE,"Appleton, WI MSA",Outagamie County,2p4c,13306.8444,13887.0276,15822.7824,20683.2216,9853.41216,17903.1456,10680.35964,102136.7928,84400.99219
3124,WI,TRUE,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",Pierce County,2p3c,17445.258,14752.1856,16152.678,19223.8248,11666.40312,21004.7004,16513.1484,116758.1952,92352.73438
3135,WI,FALSE,"Shawano County, WI",Shawano County,1p0c,6672,2759.7834,11472.83352,4986.69,3417.50688,0,5158.16196,34466.976,70563.48438
3139,WI,FALSE,"Vernon County, WI",Vernon County,2p1c,8808,7409.84616,14733.2196,11711.94,5876.36532,8392.11696,7286.04708,64217.5368,67875.25781
3147,WI,TRUE,"Oshkosh-Neenah, WI MSA",Winnebago County,2p3c,12300,11238.01536,14158.2864,18009.0912,8528.751,17828.6256,9538.48464,91601.25,79314.09375
3151,WY,FALSE,"Campbell County, WY",Campbell County,2p0c,9252,6238.90944,13969.5468,14466.5592,5612.96772,0,6794.74224,56334.726,91476.85156
3156,WY,FALSE,"Goshen County, WY",Goshen County,2p0c,7332,5972.61432,14704.2432,14466.5592,4820.78652,0,6342.99972,53639.2032,66705.70313
3157,WY,FALSE,"Hot Springs County, WY",Hot Springs County,1p2c,9600,7594.62084,13733.7504,14472.6432,6230.28876,19877.0436,7785.04692,79293.3924,78295.48438
